model,window,n_params,inference_time,average_latency,AUROC,precision,recall,accuracy,F1
ma-vae,144-24,10020910.0,2387.5975608825684,81.40396100917538,0.9146525874350045,0.7336467322347362,0.8564508221397856,0.8487467801201981,0.7837426768102672
ma-vae,288-24,10020910.0,4801.935165405273,165.5839712208715,0.9284217220988519,0.745034985322806,0.9207876316227764,0.8629458883688561,0.8200875994384821
ma-vae,288-48,10020910.0,2439.228602091471,162.61524013943142,0.926931800696654,0.8615974381092636,0.8015026765850922,0.8883570531748765,0.8302213900287881
ma-vae,576-48,10020910.0,4855.861129760742,331.1880409361824,0.9299227790103163,0.8741794093668221,0.8600853622991519,0.8884037130661951,0.8558228453417693
ma-vae,72-24,10020910.0,1271.899474143982,43.36512730368253,0.9236278512865786,0.7413010737310803,0.8501104331404092,0.8528493602654305,0.7850419734317451
vae-lstm-dual-linear,144-24,1601679.0,1116.9740571975708,12.870987110042975,0.9556866418057272,0.872157629861713,0.8766666680711022,0.9171868754641187,0.8718945530828971
vae-lstm-dual-linear,288-24,1601679.0,1517.8220456441243,17.58781789453389,0.9546544363214208,0.8361691232835872,0.9222343848567309,0.9073953516105339,0.8727556406927457
vae-lstm-dual-linear,288-48,2245327.0,1387.804459253947,16.07992022593655,0.9580450075428463,0.8637327264229174,0.9052312517431065,0.9169779106705148,0.8806101261481146
vae-lstm-dual-linear,576-48,2245327.0,2971.3385531107583,34.68512353950993,0.9566767005321548,0.8879712646829522,0.8758766168319357,0.913465038677041,0.8810243946311894
vae-lstm-dual-linear,72-24,1601679.0,830.6892808278402,9.585444026716365,0.9570692372714035,0.8703504520757049,0.8654534193100497,0.9179063121083605,0.8666347895675455
vae-lstm-dual-ma,144-24,1606527.0,1066.9688588778179,12.311791420446246,0.9558284838410867,0.8633743056845451,0.8884127476789438,0.9145830926475815,0.8706341503358712
vae-lstm-dual-ma,288-24,1606527.0,1605.6281894048054,18.609630007009827,0.9581502090983749,0.8321668376892002,0.9224091971481609,0.9078985431557524,0.8716926879386442
vae-lstm-dual-ma,288-48,2250175.0,1420.9113512039185,16.455068509804928,0.9593057595512766,0.8546205912648626,0.9082193840667115,0.915137218916063,0.8782508912285175
vae-lstm-dual-ma,576-48,2250175.0,3621.5050258636475,42.40552426852161,0.9586448995697011,0.8198019511138698,0.9636978491544635,0.9051694339620848,0.8834027293747875
vae-lstm-dual-ma,72-24,1606527.0,840.9681677818298,9.702573122620047,0.9578763806055454,0.8700097564464754,0.8693396499527702,0.9179789863487522,0.8672342411258955
vae-lstm-local-only,144-24,1014319.0,942.0351673762003,10.867513464017504,0.9573698988319284,0.8656343415401748,0.8993650432714869,0.9187450757562868,0.8774778870739274
vae-lstm-local-only,288-24,1014319.0,1416.7558482487996,16.421283994764526,0.949788902242668,0.8547023786144838,0.8732322573061825,0.9056838256371648,0.8622293318153037
vae-lstm-local-only,288-48,1657967.0,1332.3551483154297,15.433230069383782,0.9595429561112446,0.8516972587436963,0.9295625076958821,0.9158182071420832,0.88346133611364
vae-lstm-local-only,576-48,1657967.0,2464.4247913360596,28.76133928468779,0.9562628619062815,0.861893283572123,0.8932783692249687,0.9059688801840856,0.8751436313383637
vae-lstm-local-only,72-24,1014319.0,749.3432671229044,8.637486155897205,0.9547839323628101,0.8689544144662481,0.8527596880460863,0.9132491327562295,0.8586851688838327
